City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
214,Pisco,PE,2021-01-26 15:09:38,-13.7,-76.2167,73.99,73,0,8.05
215,Gisborne,NZ,2021-01-26 15:09:38,-38.6533,178.0042,66.0,89,0,3.0
216,Leningradskiy,RU,2021-01-26 15:02:40,69.3833,178.4167,-18.6,86,100,13.09
217,Hovd,MN,2021-01-26 15:09:38,48.0056,91.6419,-1.59,77,7,1.28
218,Castro,BR,2021-01-26 14:59:51,-24.7911,-50.0119,70.16,88,100,8.52
219,Cidreira,BR,2021-01-26 15:02:02,-30.1811,-50.2056,83.14,65,12,8.46
220,Saldanha,ZA,2021-01-26 15:02:10,-33.0117,17.9442,77.0,50,15,24.16
221,Jardim,BR,2021-01-26 15:04:43,-21.4803,-56.1381,81.66,84,71,8.72
222,Souillac,MU,2021-01-26 15:09:38,-20.5167,57.5167,84.2,61,20,6.91
223,Samarai,PG,2021-01-26 15:09:38,-10.6167,150.6667,82.29,76,98,7.07
224,Huangmei,CN,2021-01-26 15:09:39,30.1924,116.025,44.58,78,64,3.98
225,Linqiong,CN,2021-01-26 15:05:12,30.4159,103.4609,54.0,76,40,2.24
226,Urumqi,CN,2021-01-26 15:09:39,43.801,87.6005,10.4,85,94,2.24
227,Douglas,US,2021-01-26 15:09:39,41.3,-96.167,19.4,73,1,8.05
228,Vanavara,RU,2021-01-26 15:01:49,60.34,102.2797,-41.21,80,25,0.81
229,Boguchany,RU,2021-01-26 15:09:39,58.3814,97.4531,-41.58,77,5,0.16
230,Gela,IT,2021-01-26 15:09:39,37.0803,14.2307,51.8,43,0,17.27
231,Clyde River,CA,2021-01-26 15:01:48,70.4692,-68.5914,6.8,72,1,24.16
232,Ketchikan,US,2021-01-26 15:07:12,55.3422,-131.6461,26.6,93,20,4.59
233,Te Anau,NZ,2021-01-26 15:01:57,-45.4167,167.7167,60.04,78,100,7.78
234,Belmonte,BR,2021-01-26 15:09:39,-15.8631,-38.8828,84.2,61,20,13.8
235,Namibe,AO,2021-01-26 15:06:14,-15.1961,12.1522,81.36,58,0,12.17
236,Mahon,ES,2021-01-26 15:09:40,39.8885,4.2658,51.8,62,40,9.22
237,Longyearbyen,SJ,2021-01-26 15:01:45,78.2186,15.6401,3.2,47,0,25.32
238,Mahebourg,MU,2021-01-26 14:59:17,-20.4081,57.7,84.2,61,20,6.91
239,Dunedin,NZ,2021-01-26 15:02:09,-45.8742,170.5036,63.0,67,99,5.01
240,Sur,OM,2021-01-26 15:09:40,22.5667,59.5289,68.05,60,0,3.83
241,Corlateni,RO,2021-01-26 15:09:40,47.9333,26.55,36.0,75,0,9.22
242,Hengyang,CN,2021-01-26 15:09:40,26.8881,112.615,47.39,66,67,2.93
243,Sabang,ID,2021-01-26 15:09:41,5.8933,95.3214,81.7,78,100,11.56
244,Piuma,BR,2021-01-26 15:09:41,-20.8378,-40.7219,84.58,62,10,15.3
245,Le Port,RE,2021-01-26 15:09:41,-20.9373,55.2919,77.0,88,75,2.3
246,Balkhash,KZ,2021-01-26 15:09:41,46.844,74.9804,2.91,90,0,3.51
247,Pulaski,US,2021-01-26 15:09:41,34.7668,-92.3001,48.2,76,20,8.05
248,Sangmelima,CM,2021-01-26 15:09:41,2.9333,11.9833,90.81,34,71,2.55
249,Baruun-Urt,MN,2021-01-26 15:09:41,46.6806,113.2792,-11.56,83,0,9.48
250,Tiksi,RU,2021-01-26 15:02:05,71.6872,128.8694,-35.66,76,96,0.63
251,Willingboro,US,2021-01-26 15:09:41,40.0279,-74.869,37.4,70,90,5.75
252,Avera,US,2021-01-26 15:09:42,33.194,-82.5271,68.0,90,90,6.91
253,Mount Isa,AU,2021-01-26 15:09:42,-20.7333,139.5,78.8,83,75,5.93
254,Nyurba,RU,2021-01-26 15:09:42,63.2842,118.3319,-50.96,76,53,1.57
255,Port Pirie,AU,2021-01-26 15:09:42,-33.1833,138.0167,66.2,72,0,12.66
256,Maceio,BR,2021-01-26 15:09:05,-9.6658,-35.7353,84.2,70,75,12.66
257,Qasigiannguit,GL,2021-01-26 15:09:42,68.8193,-51.1922,10.4,61,75,1.79
258,Oktyabrskoye,RU,2021-01-26 15:09:42,43.0645,44.7417,39.2,65,3,6.71
259,Shimoda,JP,2021-01-26 15:09:42,34.6667,138.95,57.69,80,93,16.53
260,Brae,GB,2021-01-26 15:09:42,60.3964,-1.353,33.8,75,20,2.3
261,Tautira,PF,2021-01-26 15:09:43,-17.7333,-149.15,77.0,73,75,1.14
262,Kavieng,PG,2021-01-26 15:01:45,-2.5744,150.7967,82.38,78,47,10.04
263,North Bend,US,2021-01-26 15:05:07,43.4065,-124.2243,37.99,87,90,10.36
264,Obzor,BG,2021-01-26 15:09:43,42.8167,27.8833,44.6,87,75,21.85
265,Kilrush,IE,2021-01-26 15:08:32,52.6397,-9.4833,50.0,93,75,14.97
266,Tres Arroyos,AR,2021-01-26 15:09:43,-38.3739,-60.2798,82.26,48,61,6.4
267,Vestmannaeyjar,IS,2021-01-26 15:09:43,63.4427,-20.2734,32.0,59,40,34.52
268,Ayagoz,KZ,2021-01-26 15:09:43,47.9714,80.4392,2.19,91,100,6.08
269,Minsk,BY,2021-01-26 15:06:20,53.9,27.5667,32.0,100,90,8.95
270,Asau,RO,2021-01-26 15:02:24,46.4333,26.4,37.0,47,100,1.43
271,Kamina,CD,2021-01-26 15:09:44,-8.7386,24.9906,67.86,94,95,3.42
272,Acarau,BR,2021-01-26 15:02:38,-2.8856,-40.12,86.59,62,97,16.93
273,Tessalit,ML,2021-01-26 15:09:44,20.1986,1.0114,86.58,10,4,12.15
274,Zunyi,CN,2021-01-26 15:05:11,27.6867,106.9072,41.59,82,100,7.63
275,Saint-Philippe,RE,2021-01-26 15:02:00,-21.3585,55.7679,84.2,61,0,9.22
276,Rafai,CF,2021-01-26 15:09:44,4.95,23.9167,98.1,17,3,6.2
277,Afyonkarahisar,TR,2021-01-26 15:08:52,38.75,30.6667,51.8,58,75,23.02
278,Rambha,IN,2021-01-26 15:09:44,19.5167,85.1,72.54,83,7,4.79
279,Venice,US,2021-01-26 15:07:54,27.0998,-82.4543,73.99,94,1,12.66
280,Labrea,BR,2021-01-26 15:09:45,-7.2586,-64.7981,90.23,54,45,3.31
281,Asyut,EG,2021-01-26 15:09:45,27.181,31.1837,73.4,35,0,11.5
282,Norman Wells,CA,2021-01-26 15:02:31,65.282,-126.8329,-16.6,83,75,3.44
283,Fethiye,TR,2021-01-26 15:09:45,36.6217,29.1164,62.6,72,75,16.11
284,Isangel,VU,2021-01-26 15:09:45,-19.55,169.2667,78.64,82,100,17.38
285,Ponta Do Sol,PT,2021-01-26 15:02:15,32.6667,-17.1,62.01,73,7,4.0
286,Salta,AR,2021-01-26 15:09:45,-24.7859,-65.4117,77.0,53,40,1.92
287,Omboue,GA,2021-01-26 15:09:45,-1.5746,9.2618,80.19,82,100,5.99
288,Narrabri,AU,2021-01-26 15:09:45,-30.3167,149.7833,86.0,32,90,11.5
289,Quesnel,CA,2021-01-26 15:09:46,52.9999,-122.5029,21.2,93,75,2.51
290,San Jose,US,2021-01-26 14:59:54,37.3394,-121.895,36.0,86,1,4.61
291,Laguna,US,2021-01-26 15:01:56,38.421,-121.4238,32.0,86,1,1.88
292,Vostok,RU,2021-01-26 15:02:24,46.4856,135.8833,18.19,98,100,0.78
293,Jalu,LY,2021-01-26 15:01:49,29.0331,21.5482,74.97,18,100,13.13
294,Pajapan,MX,2021-01-26 15:09:46,18.25,-94.7,78.8,61,1,9.01
