City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
153,Kununurra,AU,-15.7667,128.7333,77.0,100,75,5.75,broken clouds
154,Paramonga,PE,-10.6667,-77.8333,75.4,70,91,9.82,overcast clouds
155,Araquari,BR,-26.3703,-48.7211,77.0,88,75,27.63,heavy intensity rain
156,Port-Gentil,GA,-0.7193,8.7815,77.0,94,20,7.83,light rain
157,Uige,AO,-7.6087,15.0613,66.67,86,99,1.9,overcast clouds
158,Iqaluit,CA,63.7506,-68.5145,-2.0,78,1,13.8,snow
159,Vostok,RU,46.4856,135.8833,-13.47,89,73,4.7,broken clouds
160,Vicksburg,US,32.3526,-90.8779,57.2,71,75,14.97,broken clouds
161,Chilca,PE,-12.5211,-76.7372,77.0,65,0,9.22,clear sky
162,Fort Nelson,CA,58.8053,-122.7002,-5.8,59,20,8.05,few clouds
163,Banjar,ID,-8.19,114.9675,80.6,83,40,12.66,scattered clouds
164,Arman,RU,59.7,150.1667,-15.52,79,0,10.54,clear sky
165,Saint Paul,US,44.9444,-93.0933,16.0,48,90,5.75,overcast clouds
166,Hohhot,CN,40.8106,111.6522,3.2,43,40,4.47,scattered clouds
167,Turukhansk,RU,65.8167,87.9833,-30.19,81,100,4.63,overcast clouds
168,Veracruz,MX,19.3333,-96.6667,82.99,55,23,21.99,few clouds
169,Ribeira Grande,PT,38.5167,-28.7,60.8,88,75,24.16,broken clouds
170,Saint Anthony,US,45.0205,-93.218,16.0,52,90,5.75,overcast clouds
171,Oakley,US,37.9974,-121.7124,48.0,89,100,7.0,overcast clouds
172,Khandyga,RU,62.6667,135.6,-53.9,73,78,0.92,broken clouds
173,Port Elizabeth,ZA,-33.918,25.5701,66.2,77,90,9.22,overcast clouds
174,Nurota,UZ,40.5614,65.6886,32.0,74,0,6.91,mist
175,Necochea,AR,-38.5473,-58.7368,71.01,46,6,5.99,clear sky
176,Quatre Cocos,MU,-20.2078,57.7625,78.01,83,40,4.61,scattered clouds
177,Beba,CU,22.4437,-79.7253,87.8,40,40,2.3,scattered clouds
178,Venustiano Carranza,MX,19.43,-99.0992,77.0,18,40,9.22,scattered clouds
179,Iskateley,RU,67.6803,53.1512,-6.02,91,100,17.36,light snow
180,Pochutla,MX,15.7432,-96.4661,90.0,50,0,8.99,clear sky
181,Kaitangata,NZ,-46.2817,169.8464,53.01,69,65,18.99,broken clouds
182,Ajdabiya,LY,30.7554,20.2263,57.02,54,99,9.82,overcast clouds
183,Itoman,JP,26.1247,127.6694,62.6,67,75,13.8,broken clouds
184,Yulara,AU,-25.2406,130.9889,75.2,73,97,9.22,overcast clouds
185,Lompoc,US,34.6391,-120.4579,51.8,87,90,17.27,moderate rain
186,Esso,RU,55.9333,158.7,2.26,84,12,5.03,few clouds
187,Padang,ID,-0.9492,100.3543,73.4,94,75,2.3,heavy intensity rain
188,Tura,IN,25.5198,90.2201,56.5,66,0,2.75,clear sky
189,Cockburn Town,TC,21.4612,-71.1419,80.6,54,40,10.36,scattered clouds
190,Dir,PK,35.2058,71.8756,34.75,58,90,10.38,overcast clouds
191,Juneau,US,58.3019,-134.4197,21.2,35,20,16.11,few clouds
192,Severo-Kurilsk,RU,50.6789,156.125,26.71,95,100,14.0,overcast clouds
193,Tigil,RU,57.8,158.6667,-3.44,93,100,3.49,overcast clouds
194,Andilamena,MG,-17.0167,48.5833,66.49,96,36,4.03,scattered clouds
195,Gat,IL,31.61,34.7642,57.99,61,87,5.88,overcast clouds
196,Borogontsy,RU,62.6683,131.1683,-49.68,76,98,2.44,overcast clouds
197,Faya,SA,18.3851,42.4509,57.2,35,0,6.91,clear sky
198,Bengkulu,ID,-3.8004,102.2655,74.53,92,100,6.67,moderate rain
199,Zaozerne,UA,45.1582,33.2787,49.21,78,100,24.27,overcast clouds
200,Sobolevo,RU,54.4299,31.8996,25.47,98,100,4.36,overcast clouds
201,Terrace,CA,54.5163,-128.6035,26.6,68,75,18.41,broken clouds
202,Hambantota,LK,6.1241,81.1185,74.3,78,56,12.5,broken clouds
203,Okhotsk,RU,59.3833,143.3,-13.07,79,71,10.92,broken clouds
204,Le Port,RE,-20.9373,55.2919,73.4,83,40,8.05,scattered clouds
205,Makakilo City,US,21.3469,-158.0858,80.6,57,1,9.22,clear sky
206,Komsomolskiy,UZ,40.4272,71.7189,30.2,64,0,6.91,clear sky
207,San Cristobal,VE,7.7669,-72.225,87.8,51,40,6.91,scattered clouds
208,Davenda,RU,53.5556,119.317,-22.16,83,100,2.95,overcast clouds
209,Vao,NC,-22.6667,167.4833,78.17,85,100,20.67,overcast clouds
210,Belmonte,BR,-15.8631,-38.8828,80.6,65,20,8.05,few clouds
211,Boa Esperanca,BR,-21.09,-45.5658,76.89,75,54,5.44,broken clouds
212,Korhogo,CI,9.45,-5.6333,77.76,17,0,2.59,clear sky
213,Husavik,IS,66.0449,-17.3389,19.4,86,75,8.25,broken clouds
214,Plavinas,LV,56.6178,25.7255,30.33,98,96,6.73,overcast clouds
215,Hirara,JP,24.8,125.2833,63.57,75,92,16.17,overcast clouds
216,Uyuni,BO,-20.4597,-66.825,59.63,29,0,14.07,clear sky
217,Shugurovo,RU,54.5083,52.1326,21.54,95,100,15.7,overcast clouds
218,Kiama,AU,-34.6833,150.8667,69.01,79,92,1.99,overcast clouds
219,Natal,BR,-5.795,-35.2094,82.4,74,20,17.27,few clouds
220,Lunavada,IN,23.1333,73.6167,56.08,37,0,9.1,clear sky
221,Harper,LR,4.375,-7.7169,78.8,84,3,7.36,clear sky
222,Sinnamary,GF,5.3833,-52.95,78.42,78,15,11.5,few clouds
223,Waingapu,ID,-9.6567,120.2641,77.56,82,100,9.26,overcast clouds
224,Greenwood,US,34.1668,-82.1165,60.01,82,90,8.05,overcast clouds
225,Lianran,CN,24.9227,102.485,46.0,80,0,11.18,clear sky
226,La Ronge,CA,55.1001,-105.2842,-0.4,65,31,6.91,scattered clouds
227,Torbay,CA,47.6666,-52.7314,30.0,86,75,9.22,broken clouds
228,Aklavik,CA,68.2191,-135.0107,-13.0,77,100,3.44,overcast clouds
229,Maxixe,MZ,-23.8597,35.3472,82.4,83,20,5.75,few clouds
230,Woodward,US,36.4337,-99.3904,34.0,51,1,5.75,clear sky
231,Minot,US,48.2325,-101.2963,8.01,78,90,11.5,overcast clouds
232,Bathurst,AU,-33.4166,149.5806,63.0,77,49,3.0,scattered clouds
233,Katsuura,JP,35.1333,140.3,45.0,65,75,9.22,broken clouds
234,Kokopo,PG,-4.352,152.2633,80.29,80,100,6.17,overcast clouds
235,Littleton,US,39.6133,-105.0166,42.8,22,20,0.58,few clouds
236,Salalah,OM,17.0151,54.0924,71.6,73,0,3.44,clear sky
237,Chicama,PE,-7.8447,-79.1469,73.4,78,40,10.36,scattered clouds
238,San Roque,ES,36.2107,-5.3842,62.6,88,89,13.8,overcast clouds
239,Gushikawa,JP,26.3544,127.8686,62.6,67,75,13.8,broken clouds
240,Taltal,CL,-25.4,-70.4833,72.36,60,22,8.88,few clouds
241,Utica,US,43.1009,-75.2327,30.99,79,99,1.01,overcast clouds
242,Matara,LK,5.9485,80.5353,73.38,82,66,1.95,broken clouds
243,Murgab,TM,37.4966,61.9714,33.8,75,0,9.1,clear sky
244,Kovdor,RU,67.5662,30.4758,7.93,95,100,4.97,overcast clouds
245,Victoria,HK,22.2855,114.1577,63.0,85,0,1.01,clear sky
246,La Rioja,ES,42.25,-2.5,53.6,87,0,4.61,clear sky
247,Umm Kaddadah,SD,13.6017,26.6876,72.88,18,44,13.98,scattered clouds
248,Phuket,TH,8.0,98.25,84.99,94,20,1.14,few clouds
249,Ponta Do Sol,PT,32.6667,-17.1,64.4,88,75,6.91,broken clouds
250,Ambanja,MG,-13.6833,48.45,75.0,89,14,2.84,few clouds
251,Sitka,US,57.0531,-135.33,28.4,40,1,3.44,clear sky
252,Nkan,GA,0.3833,9.7833,78.8,94,20,0.69,light rain
253,Dinan,FR,48.4167,-2.25,53.6,100,90,10.36,overcast clouds
254,Hualmay,PE,-11.0964,-77.6139,75.58,68,94,10.83,overcast clouds
255,Matay,EG,28.419,30.7792,54.36,73,0,12.57,clear sky
256,Nome,US,64.5011,-165.4064,8.6,72,1,6.91,clear sky
257,Tazovskiy,RU,67.4667,78.7,-37.59,82,6,4.68,clear sky
258,Qasigiannguit,GL,68.8193,-51.1922,8.6,56,20,3.44,few clouds
259,Ucluelet,CA,48.9329,-125.5528,41.0,87,75,8.05,light rain
260,Vila Franca Do Campo,PT,37.7167,-25.4333,64.0,94,40,17.27,scattered clouds
261,Puerto Baquerizo Moreno,EC,-0.9,-89.6,84.2,79,75,14.97,broken clouds
262,Ratnagiri,IN,16.9833,73.3,71.98,66,0,5.88,clear sky
263,Keti Bandar,PK,24.1447,67.4497,63.07,62,0,10.45,clear sky
264,Huarmey,PE,-10.0681,-78.1522,75.54,68,100,10.16,overcast clouds
265,Buala,SB,-8.145,159.5921,82.9,77,84,11.61,broken clouds
266,Carberry,CA,49.8689,-99.3602,-5.8,59,40,10.36,scattered clouds
267,Leningradskiy,RU,69.3833,178.4167,-17.14,87,100,3.76,overcast clouds
268,Nabire,ID,-3.3667,135.4833,77.18,90,100,3.91,moderate rain
269,Porto Empedocle,IT,37.2934,13.5264,45.0,77,100,1.54,overcast clouds
270,Sangin,AF,32.0728,64.8359,41.54,52,0,0.78,clear sky
271,Vila Velha,BR,-20.3297,-40.2925,82.99,69,40,20.71,scattered clouds
